food,calories,protein,fat,carbs
ray fish bow head spotted,349.0,19.03,0.7,0.0
red chilli,282.0,12.0,13.0,49.0
red gram dal,1384.0,21.7,1.56,55.23
red gram tender,520.0,8.09,0.92,19.46
red gram whole,1146.0,20.47,1.38,42.48
red snapper,437.0,22.79,1.34,0.0
red snapper small,451.0,21.5,2.3,0.0
restaurant chinese rice without meat,174.0,3.84,3.19,32.5
restaurant chinese sweet and sour pork,260.0,8.88,13.6,25.5
restaurant latino pupusas con frijoles,229.0,5.59,9.01,31.5
restaurant latino tamale pork,174.0,7.38,9.04,15.8
rice,130.0,2.7,0.3,28.0
rice bran oil,0.0,0.0,0.0,0.0
rice brown,1480.0,9.16,1.24,74.8
rice flakes,1480.0,7.44,1.14,76.75
rice flour,366.0,6.0,1.0,80.0
rice milled,1491.0,7.94,0.52,78.24
rice par milled,1471.0,7.81,0.55,77.16
rice puffed,1514.0,7.47,1.62,77.68
ricebean,1265.0,19.97,0.74,51.26
ridge gourd,37.5,0.7050000000000001,0.17,2.86
ridge gourd smooth skin,64.0,0.98,0.13,2.24
rohu,428.0,19.71,2.39,0.0
rumex leaves,82.0,1.62,0.33,2.33
sadaya,462.0,20.68,2.97,0.0
safflower oil,0.0,0.0,0.0,0.0
safflower seeds,1981.0,17.66,30.87,30.18
salmon,721.0,20.97,9.86,0.0
salt,0.0,0.0,0.0,0.0
samai,1449.0,10.13,3.89,65.55
sambar,337.5,13.5,8.0,59.0
sangada,443.0,20.26,2.67,0.0
sankata paarai,434.0,21.87,1.68,0.0
sapota,307.0,0.92,1.26,13.9
sardine,637.0,17.91,8.99,0.0
sauce pasta spaghetti marinara ready to serve,45.0,1.41,1.48,8.05
sauce salsa ready to serve,29.0,1.44,0.19,6.74
sausage breakfast sausage beef pre unprepared,328.0,13.3,28.7,3.37
sausage italian pork mild pan,322.0,18.2,26.2,2.15
sausage pork chorizo link or ground pan,346.0,19.3,28.1,2.63
sausage turkey breakfast links mild,169.0,16.7,10.4,0.93
seeds sunflower seed kernels dry added,612.0,21.0,56.1,17.1
shark,398.0,21.6,0.83,0.0
shark hammer head,432.0,23.4,0.8,0.0
shark spotted,384.0,20.95,0.75,0.0
sheep brain,492.0,13.05,7.29,0.0
sheep chops,496.0,18.0,5.15,0.0
sheep heart,445.0,18.19,3.66,0.0
sheep kidneys,384.0,16.22,2.92,0.0
sheep leg,686.0,21.42,8.69,0.0
sheep liver,559.0,22.26,4.87,0.0
sheep lungs,363.0,16.12,2.41,0.0
sheep shoulder,840.0,18.24,14.31,0.0
